,overview_matchesplayed,overview_matcheswon,overview_matcheslost,overview_matchesabandoned,overview_timeplayed,overview_kills,overview_deaths,overview_attackerroundswon,overview_attackerteamkillsinobj,overview_attackerenemykillsinobj,overview_attackerteamkillsoutobj,overview_attackerenemykillsoutobj,overview_defenderroundswon,overview_defenderteamkillsinobj,overview_defenderenemykillsinobj,overview_defenderteamkillsoutobj,overview_defenderenemykillsoutobj,overview_headshots,overview_headshotsmissed,overview_headshotpercentage,overview_wallbangs,overview_damagedealt,overview_assists,overview_teamkills,overview_playstyleattackerbreacher,overview_playstyleattackerentryfragger,overview_playstyleattackerintelprovider,overview_playstyleattackerroamclearer,overview_playstyleattackersupporter,overview_playstyleattackerutilityclearer,overview_playstyledefenderdebuffer,overview_playstyledefenderentrydenier,overview_playstyledefenderintelprovider,overview_playstyledefendersupporter,overview_playstyledefendertrapper,overview_playstyledefenderutilitydenier,overview_kdratio,overview_killspermatch,overview_killspermin,overview_winpercentage,overview_timealive,is_cheater
0,37,31,6,0,0,330,66,61,0,0,0,0,56,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,8.92,330.0,83.78,0,1
1,148,73,74,1,212365,550,515,1998,0,2,0,13,2078,0,5,0,6,25,20,55.56,1,0,9,0,38,49,56,38,40,20,40,31,42,32,23,38,1.07,3.72,0.16,49.32,412,1
2,121,73,21,0,0,849,274,158,0,0,0,0,167,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,7.02,849.0,60.33,0,1
3,99,64,35,0,0,767,398,179,0,0,0,0,152,0,0,0,0,0,0,0.0,0,0,0,0,0,95,5,0,26,185,23,25,240,149,2,109,1.93,7.75,767.0,64.65,0,1
4,79,79,0,0,0,961,21,169,0,0,0,0,207,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.76,12.16,961.0,100.0,0,1
5,227,136,84,0,330428,845,731,285,0,0,0,0,306,0,0,0,0,0,0,0.0,0,0,0,0,14,55,38,14,19,64,67,14,33,23,56,60,1.16,3.72,0.15,59.91,452,1
6,649,381,245,0,0,3604,2451,1000,0,0,0,0,1155,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,5.55,3604.0,58.71,0,1
7,22,22,0,0,0,177,19,43,0,0,0,0,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32,8.05,177.0,100.0,0,1
8,44,37,7,0,0,395,100,105,0,0,0,0,97,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,8.98,395.0,84.09,0,1
9,383,187,195,0,515640,1174,1183,380,0,0,0,0,420,0,0,0,0,0,0,0.0,0,0,0,0,221,498,210,221,274,194,284,161,558,307,142,234,0.99,3.07,0.14,48.83,435,1
10,197,125,65,7,305252,1077,764,297,0,9,3,59,362,0,4,0,59,88,54,61.97,12,17427,13,3,1,87,6,1,7,7,36,30,1,30,27,68,1.41,5.47,0.21,63.45,399,1
11,233,156,77,0,0,1452,990,393,0,0,0,0,471,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,6.23,1452.0,66.95,0,1
12,159,78,58,23,189892,786,533,201,0,0,0,0,223,0,0,0,0,0,0,0.0,0,0,0,0,88,172,167,88,108,134,206,119,60,80,222,59,1.47,4.94,0.25,49.06,356,1
13,294,149,119,0,0,1375,1069,356,0,0,0,0,427,0,0,0,0,0,0,0.0,0,0,0,0,10,134,44,10,30,83,107,59,50,94,100,118,1.29,4.68,1375.0,50.68,0,1
14,60,42,18,0,0,273,152,92,0,0,0,0,79,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,4.55,273.0,70.0,0,1
15,35,26,9,0,0,204,128,45,0,0,0,0,65,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,5.83,204.0,74.29,0,1
16,140,88,52,0,0,655,490,560,0,0,0,0,521,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,4.68,655.0,62.86,0,1
17,156,123,33,0,0,763,537,269,0,0,0,0,262,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,4.89,763.0,78.85,0,1
18,61,52,9,0,0,449,115,122,0,0,0,0,122,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,7.36,449.0,85.25,0,1
19,567,275,248,38,804665,1900,1762,636,0,0,0,3,682,0,2,0,2,6,5,54.55,0,0,4,0,140,274,196,140,184,267,142,187,272,223,128,376,1.08,3.35,0.14,48.5,456,1
20,74,40,34,0,0,313,258,98,0,0,0,0,98,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,4.23,313.0,54.05,0,1
21,172,106,24,42,165360,867,288,241,0,0,0,0,205,0,0,0,0,0,0,0.0,0,0,0,0,29,117,123,29,142,91,195,175,58,28,88,113,3.01,5.04,0.31,61.63,574,1
22,170,122,48,0,0,1094,629,340,0,0,0,0,363,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,6.44,1094.0,71.76,0,1
23,474,270,170,0,733365,2205,1859,771,0,0,0,0,862,0,0,0,0,0,0,0.0,0,0,0,0,4,73,66,4,38,146,68,66,22,123,68,101,1.19,4.65,0.18,56.96,394,1
24,44,34,10,0,76111,316,156,61,0,0,0,0,65,0,0,0,0,0,0,0.0,0,0,0,0,28,51,25,28,129,33,36,46,37,40,25,39,2.03,7.18,0.25,77.27,487,1
25,139,89,48,0,0,741,553,225,0,0,0,0,257,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,5.33,741.0,64.03,0,1
26,5692,3115,2577,0,0,25933,23483,8187,0,0,0,0,9604,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4.56,25933.0,54.73,0,1
27,305,170,94,0,0,1833,1048,409,0,0,0,0,495,0,0,0,0,0,0,0.0,0,0,0,0,0,8,3,0,0,7,2,8,3,5,6,5,1.75,6.01,1833.0,55.74,0,1
28,69,54,14,1,83192,445,204,103,0,0,0,0,109,0,0,0,0,0,0,0.0,0,0,0,0,36,109,26,36,29,34,31,72,21,72,16,135,2.18,6.45,0.32,78.26,407,1
29,366,207,149,0,1835060,2007,1633,576,0,0,0,0,692,0,0,0,0,0,0,0.0,0,0,0,0,0,4,1,0,0,3,3,1,1,2,2,3,1.23,5.48,0.07,56.56,1123,1
30,234,146,88,0,0,1058,727,422,0,0,0,0,386,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,4.52,1058.0,62.39,0,1
31,304,178,123,0,0,1037,813,404,0,0,0,0,410,0,0,0,0,0,0,0.0,0,0,0,0,40,51,76,40,25,61,43,54,47,26,46,54,1.28,3.41,1037.0,58.55,0,1
32,330,158,146,0,0,1027,834,330,0,0,0,0,390,0,0,0,0,0,0,0.0,0,0,0,0,200,329,280,200,179,112,259,262,259,237,214,262,1.23,3.11,1027.0,47.88,0,1
33,1097,544,529,22,94708,4633,4104,1409,0,0,0,0,1855,0,0,0,0,0,0,0.0,0,0,0,0,25,80,53,25,118,58,38,71,38,102,29,26,1.13,4.22,2.94,49.59,23,1
34,485,247,228,0,0,1398,1451,472,0,0,0,0,570,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,2.88,1398.0,50.93,0,1
35,598,332,246,0,0,2135,2297,848,0,0,0,0,969,0,0,0,0,0,0,0.0,0,0,0,0,13,69,46,13,29,24,28,15,57,38,6,58,0.93,3.57,2135.0,55.52,0,1
36,262,155,78,29,313322,1118,602,295,0,4,2,56,326,1,4,1,55,71,55,56.35,17,15856,20,4,68,152,273,68,248,169,154,193,144,111,165,230,1.86,4.27,0.21,59.16,520,1
37,22,22,0,0,0,303,14,3,0,0,0,0,79,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.64,13.77,303.0,100.0,0,1
38,334,163,160,0,0,1442,1600,438,0,0,0,0,529,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,4.32,1442.0,48.8,0,1
39,843,352,491,0,0,2894,3053,896,0,0,0,0,952,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,3.43,2894.0,41.76,0,1
40,41,35,6,0,0,524,148,37,0,0,0,0,133,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,12.78,524.0,85.37,0,1
41,251,161,78,0,0,1612,973,463,0,0,0,0,516,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,6.42,1612.0,64.14,0,1
42,307,174,125,0,0,2068,1284,437,0,0,0,0,439,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2,1,0,0,0,2,0,0,1.61,6.74,2068.0,56.68,0,1
43,0,0,0,0,0,0,0,22,0,0,0,0,23,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1
44,192,104,83,2,280847,657,672,272,0,0,0,3,300,0,0,0,2,3,4,42.86,0,891,1,0,21,8,47,21,107,145,32,9,172,212,6,46,0.98,3.42,0.14,54.17,417,1
45,276,234,36,1,263240,1641,446,388,0,0,0,0,388,0,0,0,0,0,0,0.0,0,0,0,0,84,287,168,84,160,121,201,191,218,98,59,180,3.68,5.95,0.37,84.78,590,1
46,200,136,57,0,0,1218,647,290,0,0,0,0,284,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,6.09,1218.0,68.0,0,1
47,69,60,9,0,0,425,158,142,0,0,0,0,150,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,6.16,425.0,86.96,0,1
48,30,30,0,0,0,250,64,72,0,0,0,0,65,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,8.33,250.0,100.0,0,1
49,343,212,131,0,0,1749,1456,548,0,0,0,0,628,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,5.1,1749.0,61.81,0,1
50,54,43,11,0,62436,283,150,74,0,0,0,0,90,0,0,0,0,0,0,0.0,0,0,0,0,8,42,47,8,20,69,49,10,35,49,36,30,1.89,5.24,0.27,79.63,416,1
51,706,369,328,0,0,1761,2776,1073,0,0,0,0,1152,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,2.49,1761.0,52.27,0,1
52,150,145,2,0,0,835,192,235,0,0,0,0,232,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,5.57,835.0,96.67,0,1
53,56,47,9,0,0,468,146,55,0,0,0,0,125,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,8.36,468.0,83.93,0,1
54,111,101,10,0,0,885,224,178,0,0,0,0,172,0,0,0,0,0,0,0.0,0,0,0,0,41,52,41,41,87,93,47,19,96,109,40,122,3.95,7.97,885.0,90.99,0,1
55,451,235,206,3,822240,2070,1678,636,0,0,0,0,780,0,0,0,0,0,0,0.0,0,0,0,0,166,676,335,166,410,373,597,412,359,341,496,533,1.23,4.59,0.15,52.11,490,1
56,488,251,235,2,801861,2192,2250,643,0,9,0,43,760,0,4,1,30,42,45,48.28,4,12933,15,1,9,26,10,9,19,29,43,12,4,14,27,35,0.97,4.49,0.16,51.43,356,1
57,118,87,28,3,173945,933,371,201,0,0,0,0,216,0,0,0,0,0,0,0.0,0,0,0,0,0,169,53,0,79,105,38,83,40,194,39,175,2.51,7.91,0.32,73.73,468,1
58,40,27,12,1,3310046,290,114,53,0,0,0,0,58,0,0,0,0,0,0,0.0,0,0,0,0,7,35,41,7,48,29,34,48,8,8,17,62,2.54,7.25,0.01,67.5,29035,1
59,73,60,13,0,0,732,202,139,0,0,0,0,165,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3.62,10.03,732.0,82.19,0,1
60,48,47,1,0,84389,680,267,112,0,0,0,0,97,0,0,0,0,0,0,0.0,0,0,0,0,10,23,105,10,110,46,52,151,3,73,29,99,2.55,14.17,0.48,97.92,316,1
61,61,54,7,0,0,446,128,61,0,0,0,0,121,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,7.31,446.0,88.52,0,1
62,190,116,70,4,6917706,1005,588,298,0,0,0,0,299,0,0,0,0,0,0,0.0,0,0,0,0,73,123,101,73,122,143,86,119,92,127,91,111,1.71,5.29,0.01,61.05,11764,1
63,73,43,30,0,99841,253,229,87,0,0,0,0,92,0,0,0,0,0,0,0.0,0,0,0,0,8,0,8,8,180,0,28,55,7,138,24,10,1.1,3.47,0.15,58.9,435,1
64,0,0,0,0,0,0,0,290,0,0,0,0,278,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1
65,230,96,134,0,288502,533,707,182,0,0,0,0,244,0,0,0,0,0,0,0.0,0,0,0,0,2,6,38,2,115,472,26,50,6,409,25,39,0.75,2.32,0.11,41.74,408,1
66,95,84,11,0,0,911,244,81,0,0,0,0,278,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,9.59,911.0,88.42,0,1
67,1190,643,504,0,0,5828,5062,1818,0,0,0,0,2140,0,0,0,0,0,0,0.0,0,0,0,0,90,564,295,90,244,493,324,301,289,357,242,527,1.15,4.9,5828.0,54.03,0,1
68,678,386,281,0,0,3417,2878,1075,0,0,0,0,1268,0,0,0,0,0,0,0.0,0,0,0,0,1,29,6,1,12,11,12,15,7,15,10,21,1.19,5.04,3417.0,56.93,0,1
69,376,271,101,0,0,2024,902,605,0,0,0,0,667,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,5.38,2024.0,72.07,0,1
70,13,12,0,0,0,100,58,20,0,0,0,0,33,0,0,0,0,0,0,0.0,0,0,0,0,9,8,5,9,127,22,5,15,13,28,0,31,1.72,7.69,100.0,92.31,0,1
71,229,143,86,0,0,1395,950,843,0,0,0,0,887,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,6.09,1395.0,62.45,0,1
72,351,202,141,0,0,1437,1370,531,0,0,0,0,622,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,4.09,1437.0,57.55,0,1
73,39,37,2,0,0,418,50,74,0,0,0,0,52,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,10.72,418.0,94.87,0,1
74,288,184,104,0,0,1345,850,447,0,0,0,0,495,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,4.67,1345.0,63.89,0,1
75,202,95,96,0,0,930,734,290,0,0,0,0,298,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,4.6,930.0,47.03,0,1
76,268,147,95,0,0,1246,1041,438,0,0,0,0,523,0,0,0,0,0,0,0.0,0,0,0,0,0,26,8,0,9,23,7,23,14,26,18,18,1.2,4.65,1246.0,54.85,0,1
77,34,32,2,0,0,255,96,66,0,0,0,0,66,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,7.5,255.0,94.12,0,1
78,218,151,55,3,305800,1193,579,352,0,0,0,0,330,0,0,0,0,0,0,0.0,0,0,0,0,0,37,12,0,27,11,5,58,4,8,43,17,2.06,5.47,0.23,69.27,528,1
79,127,98,29,0,0,541,315,205,0,0,0,0,219,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,4.26,541.0,77.17,0,1
80,2781,1485,1291,0,0,12127,12404,4316,0,0,0,0,4683,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,4.36,12127.0,53.4,0,1
81,112,82,30,0,0,1016,276,165,0,0,0,0,202,0,0,0,0,0,0,0.0,0,0,0,0,49,62,125,49,122,115,154,70,47,97,44,163,3.68,9.07,1016.0,73.21,0,1
82,62,57,5,0,0,572,141,125,0,0,0,0,148,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06,9.23,572.0,91.94,0,1
83,16,14,2,0,0,134,39,27,0,0,0,0,24,0,0,0,0,0,0,0.0,0,0,0,0,9,19,1,9,117,16,6,8,8,25,12,10,3.44,8.38,134.0,87.5,0,1
84,43,32,11,0,48994,423,103,73,0,0,0,0,61,0,0,0,0,0,0,0.0,0,0,0,0,20,95,4,20,21,0,0,3,0,96,3,62,4.11,9.84,0.52,74.42,475,1
85,197,146,48,0,0,1175,624,327,0,0,0,0,344,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,5.96,1175.0,74.11,0,1
86,266,154,69,0,513278,1180,751,533,0,0,0,0,592,0,0,0,0,0,0,0.0,0,0,0,0,18,70,125,18,89,168,48,103,68,109,52,158,1.57,4.44,0.14,57.89,683,1
87,180,99,34,0,0,1061,444,433,0,0,0,0,403,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,5.89,1061.0,55.0,0,1
88,1522,834,669,5,1904656,8623,6290,2270,1,54,4,324,2628,1,104,2,282,1944,1384,58.41,88,106495,104,8,116,403,103,116,183,546,287,410,299,202,446,414,1.37,5.67,0.27,54.8,302,1
89,164,110,54,0,0,972,530,287,0,0,0,0,338,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,5.93,972.0,67.07,0,1
90,2218,1062,968,0,0,7837,7846,3004,0,0,0,0,3382,0,0,0,0,0,0,0.0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,1.0,3.53,7837.0,47.88,0,1
91,457,254,162,0,0,2258,1733,615,0,0,0,0,636,0,0,0,0,0,0,0.0,0,0,0,0,121,139,183,121,110,211,74,152,173,229,105,171,1.3,4.94,2258.0,55.58,0,1
92,903,574,329,0,0,3846,2526,1131,0,0,0,0,1180,0,0,0,0,0,0,0.0,0,0,0,0,2,11,2,2,11,3,8,5,7,7,1,10,1.52,4.26,3846.0,63.57,0,1
93,44,29,15,0,76326,227,130,49,0,0,0,0,56,0,0,0,0,0,0,0.0,0,0,0,0,41,72,71,41,65,80,74,25,73,54,42,52,1.75,5.16,0.18,65.91,587,1
94,1214,590,513,111,2233877,5199,4857,1589,0,8,1,28,1619,0,14,4,37,44,59,42.72,8,13910,32,5,397,537,637,397,551,274,207,396,810,111,352,806,1.07,4.28,0.14,48.6,459,1
95,187,107,71,0,356919,1059,749,243,0,0,0,0,325,0,0,0,0,0,0,0.0,0,0,0,0,45,328,222,45,137,310,108,240,221,187,188,267,1.41,5.66,0.18,57.22,476,1
96,261,161,95,0,0,1357,985,423,0,0,0,0,496,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,5.2,1357.0,61.69,0,1
97,1652,891,732,7,729357,7426,7088,2555,0,0,0,0,2934,0,0,0,0,0,0,0.0,0,0,0,0,18,195,189,18,83,469,233,185,112,131,140,381,1.05,4.5,0.61,53.93,102,1
98,31,27,4,0,0,183,65,30,0,0,0,0,88,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,5.9,183.0,87.1,0,1
99,5,5,0,0,55292,53,35,15,0,0,0,0,20,0,0,0,0,0,0,0.0,0,0,0,0,1,1,3,1,83,4,1,0,5,1,0,4,1.51,10.6,0.06,100.0,1579,1
100,38,30,8,0,0,329,97,51,0,0,0,0,73,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,8.66,329.0,78.95,0,1
101,373,315,58,0,0,2854,847,420,0,0,0,0,763,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,7.65,2854.0,84.45,0,1
102,161,104,57,0,0,938,404,140,0,0,0,0,250,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,2,1,0,0,1,2,0,1,2.32,5.83,938.0,64.6,0,1
103,35,31,4,0,46298,279,73,63,0,0,0,0,63,0,0,0,0,0,0,0.0,0,0,0,0,15,56,29,15,16,28,12,19,42,30,12,31,3.82,7.97,0.36,88.57,634,1
104,458,276,182,0,0,2183,1569,639,0,0,0,0,642,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,4.77,2183.0,60.26,0,1
105,17,16,0,1,11044,80,12,24,0,0,0,0,27,0,0,0,0,0,0,0.0,0,0,0,0,0,15,5,0,10,2,0,15,0,14,5,10,6.67,4.71,0.43,94.12,920,1
106,52,41,3,8,45832,341,112,77,0,0,0,0,71,0,0,0,0,0,0,0.0,0,0,0,0,27,28,5,27,17,66,35,11,30,30,28,34,3.04,6.56,0.45,78.85,409,1
107,159,112,47,0,0,860,497,253,0,0,0,0,288,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,5.41,860.0,70.44,0,1
108,257,163,94,0,0,1063,807,362,0,0,0,0,402,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,4.14,1063.0,63.42,0,1
109,140,86,36,0,0,837,484,206,0,0,0,0,219,0,0,0,0,0,0,0.0,0,0,0,0,136,178,58,136,151,123,136,78,182,160,20,89,1.73,5.98,837.0,61.43,0,1
110,49,47,2,0,0,592,53,29,0,0,0,0,147,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,12.08,592.0,95.92,0,1
111,624,341,283,0,0,3027,2575,2023,0,0,0,0,2152,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,4.85,3027.0,54.65,0,1
112,366,219,128,0,0,1889,1429,617,0,0,0,0,653,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,5.16,1889.0,59.84,0,1
113,18,18,0,0,0,168,25,33,0,0,0,0,31,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72,9.33,168.0,100.0,0,1
114,143,136,7,0,0,841,277,341,0,0,0,0,332,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,5.88,841.0,95.1,0,1
115,582,318,249,0,0,3031,2450,876,0,0,0,0,1076,0,0,0,0,0,0,0.0,0,0,0,0,48,108,125,48,83,145,74,87,173,87,43,188,1.24,5.21,3031.0,54.64,0,1
116,37,27,10,0,49119,120,101,58,0,0,0,0,59,0,0,0,0,0,0,0.0,0,0,0,0,24,30,11,24,13,16,14,24,16,12,27,7,1.19,3.24,0.15,72.97,486,1
117,436,214,206,0,729863,1827,1800,1051,0,7,1,43,1221,0,10,1,49,59,51,53.64,8,15676,20,2,90,433,206,90,363,651,133,584,323,469,289,550,1.01,4.19,0.15,49.08,405,1
118,110,78,8,24,96602,462,144,158,0,0,0,0,136,0,0,0,0,0,0,0.0,0,0,0,0,15,85,71,15,96,71,83,48,0,100,98,38,3.21,4.2,0.29,70.91,670,1
119,92,61,31,0,0,462,336,176,0,0,0,0,166,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,5.02,462.0,66.3,0,1
120,49,36,13,0,0,232,145,64,0,0,0,0,64,0,0,0,0,0,0,0.0,0,0,0,0,0,13,8,0,8,20,0,8,0,21,6,10,1.6,4.73,232.0,73.47,0,1
121,222,139,34,0,0,793,414,354,0,0,0,0,354,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,3.57,793.0,62.61,0,1
122,98,68,30,0,114246,891,320,157,0,0,0,0,166,0,0,0,0,0,0,0.0,0,0,0,0,1,105,58,1,35,110,84,21,18,169,18,197,2.78,9.09,0.47,69.39,357,1
123,169,108,42,0,0,1118,446,253,0,0,0,0,266,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51,6.62,1118.0,63.91,0,1
124,66,50,16,0,0,526,142,106,0,0,0,0,108,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,7.97,526.0,75.76,0,1
125,97,79,18,0,0,606,292,179,0,0,0,0,170,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,6.25,606.0,81.44,0,1
126,255,129,88,0,0,1365,839,318,0,0,0,0,343,0,0,0,0,0,0,0.0,0,0,0,0,2,9,5,2,8,5,2,2,4,4,1,5,1.63,5.35,1365.0,50.59,0,1
127,7,6,1,0,0,156,25,26,0,0,0,0,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,22.29,156.0,85.71,0,1
128,98,73,25,0,0,409,282,152,0,0,0,0,139,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,4.17,409.0,74.49,0,1
129,95,54,20,0,141639,403,310,137,0,0,0,0,131,0,0,0,0,0,0,0.0,0,0,0,0,37,169,37,37,147,74,80,106,91,68,85,106,1.3,4.24,0.17,56.84,456,1
130,446,233,204,1,718071,2209,1847,632,0,0,0,0,714,0,0,0,0,0,0,0.0,0,0,0,0,34,153,34,34,30,83,80,65,35,108,86,62,1.2,4.95,0.18,52.24,388,1
131,441,247,180,2,622930,2063,2057,697,0,25,0,82,789,0,12,2,90,121,158,43.37,27,30477,27,2,156,202,164,156,128,343,130,368,86,168,156,308,1.0,4.68,0.2,56.01,302,1
132,422,242,162,0,0,2642,1640,668,0,0,0,0,755,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,0,0,2,1,1,1,0,3,1.61,6.26,2642.0,57.35,0,1
133,655,328,262,0,686965,3176,2525,982,0,0,0,0,1066,0,0,0,0,0,0,0.0,0,0,0,0,8,21,46,8,50,85,41,42,46,40,52,55,1.26,4.85,0.28,50.08,272,1
134,37,27,10,0,0,399,103,81,0,0,0,0,68,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,10.78,399.0,72.97,0,1
135,235,130,87,0,0,820,728,131,0,0,0,0,134,0,0,0,0,0,0,0.0,0,0,0,0,2,15,23,2,11,84,51,19,25,17,3,92,1.13,3.49,820.0,55.32,0,1
136,128,66,60,0,0,621,491,180,0,0,0,0,242,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,4.85,621.0,51.56,0,1
