,overview_matchesplayed,overview_matcheswon,overview_matcheslost,overview_matchesabandoned,overview_timeplayed,overview_kills,overview_deaths,overview_attackerroundswon,overview_attackerteamkillsinobj,overview_attackerenemykillsinobj,overview_attackerteamkillsoutobj,overview_attackerenemykillsoutobj,overview_defenderroundswon,overview_defenderteamkillsinobj,overview_defenderenemykillsinobj,overview_defenderteamkillsoutobj,overview_defenderenemykillsoutobj,overview_headshots,overview_headshotsmissed,overview_headshotpercentage,overview_wallbangs,overview_damagedealt,overview_assists,overview_teamkills,overview_playstyleattackerbreacher,overview_playstyleattackerentryfragger,overview_playstyleattackerintelprovider,overview_playstyleattackerroamclearer,overview_playstyleattackersupporter,overview_playstyleattackerutilityclearer,overview_playstyledefenderdebuffer,overview_playstyledefenderentrydenier,overview_playstyledefenderintelprovider,overview_playstyledefendersupporter,overview_playstyledefendertrapper,overview_playstyledefenderutilitydenier,overview_kdratio,overview_killspermatch,overview_killspermin,overview_winpercentage,overview_timealive,is_cheater
1145,1433,783,599,0,2388283,7634,5827,2183,0,0,0,0,2400,0,0,0,0,0,0,0.0,0,0,0,0,116,346,218,116,297,264,219,191,263,230,256,423,1.31,5.33,0.19,54.64,409,1
1146,209,127,44,0,0,1277,550,299,0,0,0,0,253,0,0,0,0,0,0,0.0,0,0,0,0,93,233,128,93,123,233,170,156,103,142,110,223,2.32,6.11,1277.0,60.77,0,1
1147,1298,707,566,3,1432244,6287,5000,2094,0,0,0,0,2491,0,0,0,0,0,0,0.0,0,0,0,0,3,132,6,3,6,37,17,99,63,4,66,109,1.26,4.84,0.26,54.47,286,1
1148,37,20,6,0,0,167,121,59,0,0,0,0,49,0,0,0,0,0,0,0.0,0,0,0,0,3,17,27,3,17,36,20,31,8,21,25,10,1.38,4.51,167.0,54.05,0,1
1149,137,100,36,0,0,690,439,206,0,0,0,0,205,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,5.04,690.0,72.99,0,1
1150,43,22,16,0,0,249,137,53,0,0,0,0,66,0,0,0,0,0,0,0.0,0,0,0,0,0,23,37,0,78,44,2,80,1,38,44,64,1.82,5.79,249.0,51.16,0,1
1151,5,5,0,0,4313,38,3,6,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,0,0,12.67,7.6,0.54,100.0,1437,1
1152,283,166,111,0,258856,1473,943,349,0,0,0,0,392,0,0,0,0,0,0,0.0,0,0,0,0,110,307,341,110,194,133,145,75,286,302,113,199,1.56,5.2,0.34,58.66,274,1
1153,178,102,75,1,296579,939,726,279,0,0,0,0,341,0,0,0,0,0,0,0.0,0,0,0,0,22,12,25,22,17,7,3,0,3,46,3,5,1.29,5.28,0.19,57.3,408,1
1154,1834,1001,775,32,3097064,7084,7807,2709,0,35,2,204,3258,0,104,1,181,351,383,47.82,58,50682,114,3,190,353,399,190,486,196,375,261,182,357,151,502,0.91,3.86,0.14,54.58,396,1
1155,323,148,170,0,0,1145,1307,459,0,0,0,0,493,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,5,0,1,5,0,0.88,3.54,1145.0,45.82,0,1
1156,268,151,117,0,0,1062,742,379,0,0,0,0,411,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,3.96,1062.0,56.34,0,1
1157,464,233,199,6,2133779,1846,1410,524,0,0,0,2,537,0,1,0,2,2,4,33.33,0,180,2,0,185,369,225,185,169,272,86,228,205,403,109,251,1.31,3.98,0.05,50.22,1513,1
1158,246,179,67,0,0,1582,769,449,0,0,0,0,484,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,6.43,1582.0,72.76,0,1
1159,827,492,333,0,726967,5344,2825,1262,0,0,0,0,1400,0,0,0,0,0,0,0.0,0,0,0,0,18,67,24,18,23,38,35,11,34,50,21,34,1.89,6.46,0.44,59.49,257,1
1160,127,68,33,0,395394,701,402,178,0,0,0,0,171,0,0,0,0,0,0,0.0,0,0,0,0,104,154,76,104,80,92,77,119,89,79,119,120,1.74,5.52,0.11,53.54,983,1
1161,137,75,59,3,227042,648,533,1142,0,0,0,0,1074,0,0,0,0,0,0,0.0,0,0,0,0,30,83,31,30,38,25,35,42,28,29,54,41,1.22,4.73,0.17,54.74,425,1
1162,240,146,66,0,0,1060,729,342,0,0,0,0,328,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,4.42,1060.0,60.83,0,1
1163,51,42,9,0,0,356,159,75,0,0,0,0,81,0,0,0,0,0,0,0.0,0,0,0,0,7,54,10,7,34,20,82,36,8,16,25,101,2.24,6.98,356.0,82.35,0,1
1164,660,279,376,4,763762,1624,2121,706,0,0,0,14,746,2,3,5,5,28,63,30.77,5,1602,3,7,221,461,578,221,721,313,310,611,556,371,504,407,0.77,2.46,0.13,42.27,360,1
1165,30,27,3,0,0,268,65,73,0,0,0,0,63,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12,8.93,268.0,90.0,0,1
1166,253,135,103,0,0,1006,769,287,0,0,0,0,304,0,0,0,0,0,0,0.0,0,0,0,0,94,354,91,94,84,95,214,112,111,165,214,214,1.31,3.98,1006.0,53.36,0,1
